,        KETTERING ARCHERS,,,,,,
,,    NATIONAL  RESULTS,,,,,
,JUDGE: H.SHERREY,,,DATE: 18.01.25,,,
,,,,,,,
CLASS,POSITION,NAME,ROUND,HITS,GOLDS,SCORE,
Mens Recurve,1,D.Chaplin,National,68,11,404,
,2,J.Butt,National,69,13,379,
,3,P.Conyngham,National,68,6,360,
,4,,,,,,
Mens Barebow,1,G. Sore,National,67,14,377,
,2,,,,,,
,3,,,,,,
,4,,,,,,
,5,,,,,,
,6,,,,,,
,7,,,,,,
,8,,,,,,
Mens Flatbow,1,,,,,,
,2,,,,,,
,3,,,,,,
Mens Horsebow,1,,,,,,
,2,,,,,,
,3,,,,,,
Mens Traditional,1,,,,,,
,2,,,,,,
,3,,,,,,
Mens Egyptian,1,,,,,,
Mens Longbow,1,M.Allison,National,65,5,345,
,2,,,,,,
,3,,,,,,
,4,,,,,,
,5,,,,,,
,6,,,,,,
,7,,,,,,
,8,,,,,,
Mens Compound,1,,,,,,
Ladies Recurve,1,W.Russell,National,23,4,95,
,2,,,,,,
,3,,,,,,
,4,,,,,,
Ladies Barebow,1,L.Constable,National,69,10,389,
,2,D.Golding,National,55,8,289,
,3,S.Allison,National,29,3,129,
,4,,,,,,
,5,,,,,,
,6,,,,,,
Ladies Flatbow,1,,,,,,
Ladies Horsebow,1,,,,,,
Ladies Longbow,1,,,,,,
,2,,,,,,
Ladies Compound,1,,,,,,
Boys Recurve,1,,,,,,
Boys Barebow,1,,,,,,
Boys Flatbow,1,,,,,,
,2,,,,,,
Boys Longbow,1,,,,,,
Girls Recurve,1,M.Butt,National 50,47,3,195,
Girls Barebow,1,P.Chaplin,National 50,43,1,185,
Girls Longbow,1,,,,,,
RESULTS SHEET COMPILED BY M.ALLISON (CHAIRMAN..KETTERING ARCHERS)……………….………….,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
